gene,#H0,#H1,#H2,#H3,#H4
288,0,0,NaN,NaN,NaN
289,NaN,NaN,NaN,NaN,NaN
290,NaN,NaN,NaN,NaN,NaN
291,0,0.037037037037037035,NaN,NaN,NaN
292,NaN,NaN,NaN,NaN,NaN
293,0,0,NaN,NaN,NaN
294,NaN,NaN,NaN,NaN,NaN
295,NaN,NaN,NaN,NaN,NaN
296,1,0.01593625498007968,NaN,NaN,NaN
297,NaN,NaN,NaN,NaN,NaN
298,NaN,1,NaN,NaN,NaN
299,0,0.0047169811320754715,NaN,NaN,NaN
300,1,0.006134969325153374,NaN,NaN,NaN
301,1,0.6193181818181818,NaN,NaN,NaN
302,1,0.03333333333333333,NaN,NaN,NaN
303,NaN,NaN,NaN,NaN,NaN
304,NaN,NaN,NaN,NaN,NaN
305,NaN,NaN,NaN,NaN,NaN
306,0.28,0.11085450346420324,NaN,NaN,NaN
307,0,0.00546448087431694,NaN,NaN,NaN
308,0,0.09398496240601503,NaN,NaN,NaN
309,NaN,NaN,NaN,NaN,NaN
310,0,0,NaN,NaN,NaN
311,1,0,NaN,NaN,NaN
312,1,0,NaN,NaN,NaN
313,NaN,NaN,NaN,NaN,NaN
314,NaN,NaN,NaN,NaN,NaN
315,0,0.016260162601626018,NaN,NaN,NaN
316,NaN,NaN,NaN,NaN,NaN
317,NaN,0,NaN,NaN,NaN
318,0,0,NaN,NaN,NaN
319,NaN,NaN,NaN,NaN,NaN
320,1,0.9113300492610837,NaN,NaN,NaN
321,NaN,NaN,NaN,NaN,NaN
322,0.94,0.39978094194961666,NaN,NaN,NaN
323,1,0,NaN,NaN,NaN
324,NaN,NaN,NaN,NaN,NaN
325,1,0.957983193277311,NaN,NaN,NaN
326,0,0.01092896174863388,NaN,NaN,NaN
327,NaN,NaN,NaN,NaN,NaN
328,1,0.005274261603375527,NaN,NaN,NaN
329,0.29411764705882354,0.4319526627218935,NaN,NaN,NaN
330,0.7741935483870968,0.00975609756097561,NaN,NaN,NaN
331,1,0.1557377049180328,NaN,NaN,NaN
332,0,0.017937219730941704,NaN,NaN,NaN
333,0,0.5714285714285714,NaN,NaN,NaN
334,NaN,NaN,NaN,NaN,NaN
335,0.9444444444444444,0.24,NaN,NaN,NaN
336,0,0.6036036036036037,NaN,NaN,NaN
337,NaN,NaN,NaN,NaN,NaN
338,0,0.012195121951219513,NaN,NaN,NaN
339,NaN,NaN,NaN,NaN,NaN
340,0,0.007575757575757576,NaN,NaN,NaN
341,1,0.17679558011049723,NaN,NaN,NaN
342,NaN,NaN,NaN,NaN,NaN
343,NaN,0.0189873417721519,NaN,NaN,NaN
344,NaN,NaN,NaN,NaN,NaN
345,0.8928571428571429,0.11029411764705882,NaN,NaN,NaN
346,1,0,NaN,NaN,NaN
347,0,0.01948051948051948,NaN,NaN,NaN
348,1,0,NaN,NaN,NaN
349,1,0,NaN,NaN,NaN
350,1,0.20689655172413793,NaN,NaN,NaN
351,NaN,NaN,NaN,NaN,NaN
352,0,0,NaN,NaN,NaN
353,0,0,NaN,NaN,NaN
354,NaN,0,NaN,NaN,NaN
355,0,0.08536585365853659,NaN,NaN,NaN
356,0,0.6031746031746031,NaN,NaN,NaN
357,0,0.6597938144329897,NaN,NaN,NaN
358,NaN,NaN,NaN,NaN,NaN
359,0,0.007168458781362007,NaN,NaN,NaN
360,0,0.005405405405405406,NaN,NaN,NaN
361,0,0.005714285714285714,NaN,NaN,NaN
362,NaN,NaN,NaN,NaN,NaN
363,0,0.09832134292565947,NaN,NaN,NaN
364,0,0.46296296296296297,NaN,NaN,NaN
365,1,0.3204272363150868,NaN,NaN,NaN
366,NaN,NaN,NaN,NaN,NaN
367,0,0,NaN,NaN,NaN
368,NaN,NaN,NaN,NaN,NaN
369,0,0,NaN,NaN,NaN
370,0.6666666666666666,0.04381846635367762,NaN,NaN,NaN
371,0,0,NaN,NaN,NaN
372,0,0,NaN,NaN,NaN
373,0,0.018867924528301886,NaN,NaN,NaN
374,1,0.3983739837398374,NaN,NaN,NaN
375,0,0.6988636363636364,NaN,NaN,NaN
376,NaN,NaN,NaN,NaN,NaN
377,NaN,1,NaN,NaN,NaN
378,0,0.016353229762878167,NaN,NaN,NaN
379,NaN,NaN,NaN,NaN,NaN
380,0,0.012578616352201259,NaN,NaN,NaN
381,1,NaN,NaN,NaN,NaN
382,0,0.5180722891566265,NaN,NaN,NaN
383,NaN,NaN,NaN,NaN,NaN
384,0,0,NaN,NaN,NaN
385,0,0.21390374331550802,NaN,NaN,NaN
386,0,0.6803921568627451,NaN,NaN,NaN
387,0,0.75,NaN,NaN,NaN
388,1,0,NaN,NaN,NaN
389,0,0,NaN,NaN,NaN
390,0,0.9024390243902439,NaN,NaN,NaN
