gene,#H1,#H2,#H3,#H4,#H5
361,NaN,NaN,NaN,0.005714285714285714,NaN
362,NaN,NaN,NaN,NaN,NaN
363,NaN,NaN,NaN,0.09832134292565947,NaN
364,NaN,NaN,NaN,0.46296296296296297,NaN
365,NaN,NaN,NaN,0.3204272363150868,NaN
366,NaN,NaN,NaN,NaN,NaN
367,NaN,NaN,NaN,0,NaN
368,NaN,NaN,NaN,NaN,NaN
369,NaN,NaN,NaN,0,NaN
370,NaN,NaN,NaN,0.04381846635367762,NaN
371,NaN,NaN,NaN,0,NaN
372,NaN,NaN,NaN,0,NaN
373,NaN,NaN,NaN,0.018867924528301886,NaN
374,NaN,NaN,NaN,0.3983739837398374,NaN
375,NaN,NaN,NaN,0.6988636363636364,NaN
376,NaN,NaN,NaN,NaN,NaN
377,NaN,NaN,NaN,1,NaN
378,NaN,NaN,NaN,0.016353229762878167,NaN
379,NaN,NaN,NaN,NaN,NaN
380,NaN,NaN,NaN,0.012578616352201259,NaN
381,NaN,NaN,NaN,NaN,NaN
382,NaN,NaN,NaN,0.5180722891566265,NaN
383,NaN,NaN,NaN,NaN,NaN
384,NaN,NaN,NaN,0,NaN
385,NaN,NaN,NaN,0.21390374331550802,NaN
386,NaN,NaN,NaN,0.6803921568627451,NaN
387,NaN,NaN,NaN,0.75,NaN
388,NaN,NaN,NaN,0,NaN
389,NaN,NaN,NaN,0,NaN
390,NaN,NaN,NaN,0.9024390243902439,NaN
391,NaN,NaN,NaN,NaN,NaN
392,NaN,NaN,NaN,0,NaN
393,NaN,NaN,NaN,NaN,NaN
394,NaN,NaN,NaN,0.06910167818361303,NaN
395,NaN,NaN,NaN,0.4206896551724138,NaN
396,NaN,NaN,NaN,0.004830917874396135,NaN
397,NaN,NaN,NaN,0.005988023952095809,NaN
398,NaN,NaN,NaN,0,NaN
399,NaN,NaN,NaN,0,NaN
400,NaN,NaN,NaN,0.23648648648648649,NaN
401,NaN,NaN,NaN,0,NaN
402,NaN,NaN,NaN,0.3983739837398374,NaN
403,NaN,NaN,NaN,0.052083333333333336,NaN
404,NaN,NaN,NaN,0.012578616352201259,NaN
405,NaN,NaN,NaN,0,NaN
406,NaN,NaN,NaN,0.0040650406504065045,NaN
407,NaN,NaN,NaN,0.7831325301204819,NaN
408,NaN,NaN,NaN,0.8157524613220816,NaN
409,NaN,NaN,NaN,0.2913907284768212,NaN
410,NaN,NaN,NaN,0.8425531914893617,NaN
411,NaN,NaN,NaN,0.5769230769230769,NaN
412,NaN,NaN,NaN,0.014695077149155033,NaN
413,NaN,NaN,NaN,0.9538461538461539,NaN
414,NaN,NaN,NaN,0.005025125628140704,NaN
415,NaN,NaN,NaN,0,NaN
416,NaN,NaN,NaN,0,NaN
417,NaN,NaN,NaN,0.01639344262295082,NaN
418,NaN,NaN,NaN,0.0060901339829476245,NaN
419,NaN,NaN,NaN,0.007936507936507936,NaN
420,NaN,NaN,NaN,0.30510585305105853,NaN
421,NaN,NaN,NaN,0.018779342723004695,NaN
422,NaN,NaN,NaN,0.3983739837398374,NaN
423,NaN,NaN,NaN,0,NaN
424,NaN,NaN,NaN,0.8055555555555556,NaN
425,NaN,NaN,NaN,0.6042031523642732,NaN
426,NaN,NaN,NaN,0,NaN
427,NaN,NaN,NaN,0.5467625899280576,NaN
428,NaN,NaN,NaN,0.18884892086330934,NaN
429,NaN,NaN,NaN,0.6566265060240963,NaN
430,NaN,NaN,NaN,0.29931972789115646,NaN
431,NaN,NaN,NaN,0.06161695447409733,NaN
432,NaN,NaN,NaN,0.024783147459727387,NaN
433,NaN,NaN,NaN,0.09316037735849056,NaN
434,NaN,NaN,NaN,0.04201680672268908,NaN
435,NaN,NaN,NaN,0.00684931506849315,NaN
436,NaN,NaN,NaN,0.005555555555555556,NaN
437,NaN,NaN,NaN,0.01413760603204524,NaN
438,NaN,NaN,NaN,0.1306532663316583,NaN
439,NaN,NaN,NaN,0.02857142857142857,NaN
440,NaN,NaN,NaN,0.5501066098081023,NaN
441,NaN,NaN,NaN,0.2366447985004686,NaN
442,NaN,NaN,NaN,0.29931972789115646,NaN
443,NaN,NaN,NaN,0,NaN
444,NaN,NaN,NaN,0.2510460251046025,NaN
445,NaN,NaN,NaN,0.06622516556291391,NaN
446,NaN,NaN,NaN,0.8669950738916257,NaN
447,NaN,NaN,NaN,0.06467661691542288,NaN
448,NaN,NaN,NaN,0.26811594202898553,NaN
449,NaN,NaN,NaN,0.3902439024390244,NaN
450,NaN,NaN,NaN,0.008695652173913044,NaN
451,NaN,NaN,NaN,0.004651162790697674,NaN
452,NaN,NaN,NaN,0.3597122302158273,NaN
453,NaN,NaN,NaN,0.7430555555555556,NaN
454,NaN,NaN,NaN,0,NaN
455,NaN,NaN,NaN,0,NaN
456,NaN,NaN,NaN,0.09581881533101046,NaN
457,NaN,NaN,NaN,0.3983739837398374,NaN
458,NaN,NaN,NaN,0.8791946308724832,NaN
459,NaN,NaN,NaN,0,NaN
460,NaN,NaN,NaN,0.19523809523809524,NaN
461,NaN,NaN,NaN,0,NaN
462,NaN,NaN,NaN,0,NaN
463,NaN,NaN,NaN,0.5614035087719298,NaN
464,NaN,NaN,NaN,NaN,NaN
465,NaN,NaN,NaN,0.007874015748031496,NaN
466,NaN,NaN,NaN,0.010368663594470046,NaN
467,NaN,NaN,NaN,0.006127450980392157,NaN
468,NaN,NaN,NaN,0.020100502512562814,NaN
469,NaN,NaN,NaN,0.16374269005847952,NaN
470,NaN,NaN,NaN,0.018018018018018018,NaN
471,NaN,NaN,NaN,0.7681159420289855,NaN
472,NaN,NaN,NaN,0,NaN
473,NaN,NaN,NaN,0.7831325301204819,NaN
474,NaN,NaN,NaN,0,NaN
475,NaN,NaN,NaN,0.9538461538461539,NaN
476,NaN,NaN,NaN,0.18120805369127516,NaN
477,NaN,NaN,NaN,0,NaN
478,NaN,NaN,NaN,0,NaN
479,NaN,NaN,NaN,0,NaN
480,NaN,NaN,NaN,0.009771986970684038,NaN
